vendor_id,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
VTS,CRD,8,0,0.5,2.5,0,11
VTS,CSH,18,0.5,0.5,0,0,19
VTS,CRD,3.5,0,0.5,0.7,0,4.7
VTS,CRD,11.5,0,0.5,2.3,0,14.3
VTS,CSH,6.5,0,0.5,0,0,7
VTS,CRD,8.5,0,0.5,1.7,0,10.7
VTS,CSH,2.5,0,0.5,0,0,3
VTS,CSH,4,0,0.5,0,0,4.5
VTS,CRD,14,0,0.5,2,0,16.5
VTS,CRD,4,0,0.5,3,0,7.5
VTS,CSH,6.5,0,0.5,0,0,7
VTS,CRD,9.5,0,0.5,1.9,0,11.9
VTS,CSH,7,0,0.5,0,0,7.5
VTS,CSH,9,0,0.5,0,0,9.5
VTS,CRD,7.5,0,0.5,1,0,9
VTS,CRD,21,0,0.5,1,0,22.5
VTS,CRD,6,0,0.5,1.2,0,7.7
VTS,CSH,35.5,0,0.5,0,0,36
VTS,CSH,5.5,0,0.5,0,0,6
VTS,CRD,13,0,0.5,3.9,0,17.4
VTS,CSH,10,0,0.5,0,0,10.5
VTS,CSH,6.5,0,0.5,0,0,7
VTS,CRD,8.5,0,0.5,1.7,0,10.7
VTS,CRD,10.5,0,0.5,2.62,0,13.62
VTS,CSH,7,0,0.5,0,0,7.5
VTS,CSH,7.5,0,0.5,0,0,8
VTS,CSH,34.5,0,0.5,0,4.8,39.8
VTS,CRD,34.5,0,0.5,6.9,0,41.9
VTS,CSH,5,0,0.5,0,0,5.5
VTS,CRD,6.5,0,0.5,1,0,8
VTS,CSH,5,0,0.5,0,0,5.5
VTS,CRD,9,0,0.5,2.7,0,12.2
VTS,CRD,5.5,0,0.5,1.1,0,7.1
VTS,CRD,44.5,0,0.5,7,0,52
VTS,CRD,4.5,0,0.5,0.9,0,5.9
VTS,CSH,9.5,0.5,0.5,0,0,10.5
VTS,CSH,4.5,0,0.5,0,0,5
VTS,CSH,5.5,0,0.5,0,0,6
VTS,CRD,8,0.5,0.5,1.7,0,10.7
VTS,CRD,14.5,0.5,0.5,1,0,16.5
VTS,CRD,8,0.5,0.5,1.5,0,10.5
VTS,CRD,23.5,0.5,0.5,4.8,0,29.3
VTS,CRD,10.5,0.5,0.5,2.2,0,13.7
VTS,CSH,10,0,0.5,0,0,10.5
VTS,CSH,6,0.5,0.5,0,0,7
VTS,CRD,21,0.5,0.5,5.38,0,27.38
VTS,CRD,13.5,0.5,0.5,2.8,0,17.3
VTS,CRD,8,0.5,0.5,2.12,0,11.12
VTS,CRD,14.5,0.5,0.5,3,0,18.5
VTS,CRD,5.5,0.5,0.5,0.5,0,7
VTS,CRD,10,0.5,0.5,2.1,0,13.1
VTS,CRD,32.5,0,0.5,4.5,4.8,42.3
VTS,CSH,9,0,0.5,0,0,9.5
VTS,CSH,6.5,0,0.5,0,0,7
VTS,CRD,12,0,0.5,1,0,13.5
VTS,CRD,5,0,0.5,1,0,6.5
VTS,CSH,7.5,0,0.5,0,0,8
VTS,CSH,16.5,0,0.5,0,0,17
VTS,CRD,6,0,0.5,1,0,7.5
VTS,CRD,14.5,0,0.5,2,0,17
VTS,CSH,5,0,0.5,0,0,5.5
VTS,CSH,15,0,0.5,0,0,15.5
VTS,CSH,7,0.5,0.5,0,0,8
VTS,CRD,14,0,0.5,2.8,0,17.3
VTS,CSH,15.5,0,0.5,0,0,16
VTS,CRD,8,0,0.5,0.8,0,9.3
VTS,CSH,4,0,0.5,0,0,4.5
VTS,CSH,75.5,0,0,0,0,75.5
VTS,CRD,18,0,0.5,3,0,21.5
VTS,CSH,13.5,0,0.5,0,0,14
VTS,CRD,8.5,0,0.5,1.7,0,10.7
VTS,CRD,11.5,0,0.5,1,0,13
VTS,CRD,8.5,0,0.5,1.7,0,10.7
VTS,CRD,6,0,0.5,1.5,0,8
VTS,CRD,12,0,0.5,3,0,15.5
VTS,CSH,8.5,0,0.5,0,0,9
VTS,CRD,34,0,0.5,6.8,4.8,46.1
VTS,CSH,21,0,0.5,0,0,21.5
VTS,CRD,7.5,0,0.5,1.5,0,9.5
VTS,CRD,30,0,0.5,0,4.8,35.3
VTS,CSH,14.5,0,0.5,0,0,15
VTS,CSH,8,0,0.5,0,0,8.5
VTS,CRD,7,1,0.5,1.6,0,10.1
VTS,CSH,4.5,0,0.5,0,0,5
VTS,CRD,9,0,0.5,2,0,11.5
VTS,CSH,11,0,0.5,0,0,11.5
VTS,CRD,8.5,1,0.5,1,0,11
VTS,CRD,11.5,1,0.5,3.75,0,16.75
VTS,UNK,7.5,0.5,0.5,2,0,10.5
VTS,CSH,22,1,0.5,0,0,23.5
VTS,CSH,6.5,1,0.5,0,0,8
VTS,CSH,6,1,0.5,0,0,7.5
VTS,CSH,17,1,0.5,0,0,18.5
VTS,CRD,12,1,0.5,0,0,13.5
VTS,CSH,7.5,1,0.5,0,0,9
VTS,CRD,4.5,0.5,0.5,1,0,6.5
VTS,CRD,7,0.5,0.5,1.5,0,9.5
VTS,CSH,4.5,0.5,0.5,0,0,5.5
VTS,CSH,8,1,0.5,0,0,9.5
VTS,CSH,19,0,0.5,0,0,19.5
VTS,CRD,9,1,0.5,2,0,12.5
VTS,CRD,15,0.5,0.5,3.1,0,19.1
VTS,CSH,19.5,0.5,0.5,0,0,20.5
VTS,CRD,6,0.5,0.5,1.3,0,8.3
VTS,CRD,28,0.5,0.5,2,4.8,35.8
VTS,CSH,9,0.5,0.5,0,0,10
VTS,CSH,8.5,0,0.5,0,0,9
VTS,CSH,6.5,0.5,0.5,0,0,7.5
VTS,CSH,6,0,0.5,0,0,6.5
VTS,CSH,19,0.5,0.5,0,0,20
VTS,CSH,3.5,0.5,0.5,0,0,4.5
VTS,CSH,7.5,0.5,0.5,0,0,8.5
VTS,CSH,6.5,0.5,0.5,0,0,7.5
VTS,CSH,8,0.5,0.5,0,0,9
VTS,CRD,11,0.5,0.5,2.88,0,14.88
VTS,CRD,5.5,0,0.5,1,0,7
VTS,CRD,52,0,0.5,7,4.8,64.3
VTS,CRD,21,0,0.5,5.25,0,26.75
VTS,CSH,16,0,0.5,0,0,16.5
VTS,CRD,9,0,0.5,1,0,10.5
VTS,CSH,9.5,0,0.5,0,0,10
VTS,CRD,6,0,0.5,1.5,0,8
